"","Jokes.Riddles","Dream","The.other.woman","Single","Lesbian","Confession","Answer.any.question","Poetry","Sexless.marriage","Anxiety","Curious","Random.Thoughts","Movies","Human.Behavior","Think.too.much","Make.friends","Depression","Need.talk","Music","Bored","Good.quote","Good.quote.1","Ten.word.story","Lonely","Depressed","God","Affair","Lyrics","Song","Pictures","Christian","Military.girlfriend","Love.didn.t.love.me","Weird.humor","Cut.myself","Am.I.attractive","Writing","New.member","Depression.loneliness","Lose.weight","Photography","Atheist","Bi","Anything.you.ask","Quotes","Kik.messenger","Gamer","Gay","Workplace.mobbing","Limericks"
"V11",0.128540198776666,-0.0262075745972037,-0.0820980117006587,0.102716167724545,-0.0321967587398158,-0.0429068536325406,0.0575438761498845,-0.0461902097875107,-0.237330809624528,0.0235242602324491,1,0.175891873082176,0.16859521666617,0.313852767393733,0.114692469081868,0.00138977081739732,0.0144062867981796,-0.0586267945475006,0.112554455284335,0.109739834684188,0.164179894864595,0.127351602560574,0.140480768306043,0.00664849487885378,0.0341726100300079,0.158333951320926,-1,0.0881516697276791,0.148265098822227,0.0645233158870122,0.0576976764314719,-0.196642748777563,-0.0289594362972694,0.158201251451905,-0.0636698374788422,0.0270902402487583,0.14479727721607,-0.0994783169252796,-0.0322503711361624,0.0520532923710224,0.0992439735768015,0.0885262353145485,-0.0339700923844136,-0.017773890330281,0.0778292497834334,-0.0590678971355467,0.0699947361532674,-0.0680543826843643,-1,-1
"V12",0.188583932724257,-0.096449880144682,-0.0601203330580202,0.0738057657571259,-0.0799530435977549,0.00591272944328365,0.0247876951293804,0.12532424661222,-0.0362595321843507,0.0416010975357796,0.175891873082176,1,0.224284670620594,0.274261783112645,0.217259079688056,-0.00658877542180658,0.0490280942783369,-0.0165768910231367,0.228052174312617,0.0915879971042517,0.27354201115092,0.290689397250801,0.317368658815481,0.0256083486208583,0.0765844996706765,0.10222640501197,-0.0453110510886835,0.272257258289419,0.228949228516685,0.14395870073161,0.133781269330774,-0.229198841518144,-0.0386900884028733,0.220429903602553,-0.0401551814032619,0.120595026875531,0.219427545606685,-0.174824411160017,-0.0673712542637284,0.00144975848374813,0.202503491499364,0.157344573696897,0.0108778345218707,-0.0761209499890168,0.255904633794151,-0.0334596372984494,0.130811568982202,-0.0970400243028848,-1,0.187026652715778
"V13",0.118940089332461,-0.0144970020030127,-0.135968155080989,0.128024792756728,-0.0336693142682771,-0.0282940587134225,-0.0312253029646285,0.0458045501371988,-1,0.0882587006575194,0.16859521666617,0.224284670620594,1,0.18268262789426,0.154665181773221,0.124746572011641,0.0352223165112006,-0.0418488220708437,0.29255488946622,0.171478530077857,0.180342681863249,0.153295907911931,0.0858891435620533,0.00729249205324781,0.0759802947725936,0.0647942803203383,-1,0.211868452924812,0.172026047759219,0.157902406819199,0.0448698029299485,-0.0771447945559879,-0.0245822016046566,0.167587213116967,-0.0442784249440743,0.0680259330571037,0.123258053924499,-0.0827876813454441,-0.0114876403777371,0.100902941731328,0.162461806399655,0.162933053505671,-0.035403457202687,0.0306631401117026,0.277219926984781,0.0262810240174202,0.152477530667572,-0.00232391765367295,-1,-1
"V14",0.175187843759135,-0.0622782502628022,-0.0790910810363887,0.0860989684434982,-0.0868353324293329,-0.00306585422745441,0.0214319908677694,0.061099451553761,-0.119755478252191,-0.0051194617024276,0.313852767393733,0.274261783112644,0.18268262789426,1,0.226691405556385,-0.182138507513034,0.0495311982915521,-0.0696257769226542,0.118914850843514,0.0953163682159954,0.20045559803615,0.178390869014858,0.20725847638736,0.032126179279408,0.0707064692270167,0.159290209585387,-0.112573085838761,0.192268162070078,0.209472047143061,0.184968229459764,0.0483900445903997,-0.0739650172565371,-0.00425967611648367,0.221562570701854,-0.175835213350252,0.0720232560134066,0.238977866538525,-0.0643323400739935,-0.0269227401391914,0.0701689078632083,0.175579694059367,0.147535611626815,-0.057519234984495,-0.0891014307083981,0.161837577057245,-0.0164557642272159,0.11827698066539,-0.13625419615824,-1,0.293263487694952
"V15",0.09198696016534,0.0101001455050111,-0.026332126819532,0.0797298807526064,-0.102479840202799,-0.0934662109157194,-0.0934506144356087,0.0423100165191419,-0.106044325705031,0.0909821023691583,0.114692469081868,0.217259079688056,0.154665181773221,0.226691405556385,1,-0.0394781537330968,0.0326158797316514,0.0336825118096429,0.0982897457649996,0.0118405397823073,0.147466690450102,0.156362081775419,0.137214760714871,0.07382150526674,0.0855479309162694,0.02631915112415,-0.126474336675,0.17023937483064,0.181278655972617,0.103249967292629,-0.0109820884801176,-0.129880793757069,0.0641027091493731,0.159065521325085,0.0268357536524298,0.0255264344518048,0.188224511596433,-0.10773749946469,-0.0252869915173601,0.0685892468457586,0.0430477544146716,0.0715402341448269,-0.0271397660926431,-0.0255614372726871,0.115456419357914,-0.0522375708437762,0.0258342532946737,-0.0790312810140676,-1,-1
"V16",-0.0658678875327121,-0.196034221037156,-1,0.0342206381791972,-0.0501391844070936,-0.157101586374856,-0.0257158392511512,-0.0397022394498742,-0.17492624926945,0.0147453942117898,0.00138977081739732,-0.00658877542180656,0.124746572011641,-0.182138507513034,-0.0394781537330968,1,-0.00523822684392397,0.0510522995788108,-0.0105295542567727,0.0656306645369859,-0.0410820432885067,-0.0423670216362676,-0.0251445137159281,0.0195044049961424,0.00250357364092107,0.040622903379493,-1,0.0379223747209799,0.025131087670182,0.0574261649967129,-0.0315531010980724,-0.129135788273796,-0.0520342499821894,-0.00192371674109531,-0.0527028006697721,0.0458408228169982,0.0300276071611972,-0.071261674919175,-0.130532256005657,0.0627726049323738,0.0367814413366823,-0.0334210005372402,0.00548277979912631,-0.0303812755450444,0.0158143619168842,0.0300740915332926,-0.0342058681046098,-0.104849412994708,-1,-1
"V17",-0.105147376479964,-0.158710507553457,-0.208429750093102,0.0185467504131076,-0.0766811085819122,-0.165077671642248,-0.0902003784863989,0.00689529903684937,-0.155958345276518,0.197857710478279,0.0144062867981796,0.0490280942783369,0.0352223165112006,0.0495311982915521,0.0326158797316513,-0.00523822684392397,1,0.0489310632021233,-0.00983473578823464,0.014153889103787,-0.066754473960437,-0.0201562266325986,-0.00162703754840805,0.0838664689949918,0.181205492028406,0.0595883149248347,-0.247812681531412,0.0926124435019909,0.0527684759314226,0.0163033222785055,0.0890570252536384,-0.159677377520893,0.0264025459747002,0.0416995836301057,0.178210783287467,0.0177142953566885,0.0111817653928882,-0.138046455702649,0.12047816797245,0.141191097556433,0.0628818185484472,0.0785119519186395,-0.0106374325746986,-0.0566722355163778,0.0283180042120905,-0.0672548052761348,0.0422530691839182,-0.128314162611945,-1,-1
"V18",-0.0917809272553733,-0.150494406537066,-0.222721278912878,0.0357803139752388,-0.129046802668641,-0.217657940021168,-0.0329859591834016,-0.0461669160876478,-0.271186990711721,0.0393765788006926,-0.0586267945475006,-0.0165768910231366,-0.0418488220708437,-0.0696257769226541,0.0336825118096429,0.0510522995788108,0.0489310632021233,1,-0.012073831453228,0.0644553313970719,-0.107418742004082,-0.106910081256179,-0.129675814570803,0.0656628917180458,0.0527753867762778,0.00156319083090813,-0.190198328536136,0.00638874254755916,-0.00134533029994264,0.0085579477792408,-0.00802854815083488,-0.177433482014683,-0.0110791482890589,0.0225517129027662,0.00454986221552088,0.0499396973323165,-0.032952723498949,-0.146229149473996,-0.0427127728993971,0.0521348339956243,-0.0401296030331577,-0.0234353642981408,-0.0688335017289543,0.0044977671040662,-0.0538538183078758,-0.0336341370713428,-0.0353481051136843,-0.119426893192627,-1,-1
"V19",0.0963271400050091,-0.0853590590029583,-0.15960163250202,0.0700397423190755,-0.0715270287681105,-0.0939882223382643,-0.0290102560605325,0.0511988299786322,-0.171462089970864,-0.00179586314364689,0.112554455284335,0.228052174312617,0.29255488946622,0.118914850843514,0.0982897457649995,-0.0105295542567727,-0.00983473578823461,-0.012073831453228,1,0.10312378077539,0.199824672357958,0.18326777974156,0.138680819211825,-0.0100029504154732,0.0685497800095569,0.0570016582652127,-0.175873238519228,0.181448711599121,0.176794636811847,0.106557474639928,0.0423329135534622,-0.183987847427885,-0.0814138793312268,0.146573133258105,-0.012728684572713,0.0589146661556455,0.0944008345699303,-0.152852530639763,-0.0315982413059143,0.0180268006270466,0.164002374815775,0.106457579484518,-0.0461125745038152,-0.0183045136311524,0.209916487254196,-0.0316537857150079,0.105199079336181,-0.0215381951323746,-1,-1
"V20",-0.0421381555005204,-0.136509665553129,-0.221574947247799,0.0877717483975728,-0.00250997999540475,-0.0944709637496713,0.0706874802239597,-0.013095140940795,-1,0.0358292231351566,0.109739834684188,0.0915879971042517,0.171478530077857,0.0953163682159954,0.0118405397823073,0.0656306645369859,0.014153889103787,0.0644553313970719,0.10312378077539,1,0.0539010878316065,0.0847101050807799,-0.00348467638494817,0.0908371626750643,0.154797274156191,-0.0172584080431415,-1,0.117978850380204,0.125502335123316,0.130538153498785,-0.0503948320982937,-0.224032688449421,-0.117014214271853,0.110707502250375,0.000184287936391108,0.144899256736935,0.0129651150955999,-0.0790562291109602,-0.104453718939619,0.0450484147842237,0.0911853897238887,0.0515049990150856,0.00831436710647969,0.0493120973967945,0.0944955358212608,0.133609716539514,0.0896636014910729,-0.0159880053776143,-1,-1
